"X falls into the void within 2 minutes of starting",sf3,1,00:01:00,,https://youtu.be/95-8TdCisGU&t=60,
"X calls KP_9 'the diamond button' and confuses CS greatly, as well as mistaking it for KP_Subtract",sev,48,,00:00:20,,https://youtu.be/BXroHrvpKLg&t=20
"CS jokingly tells X that he needs a 'faith plate'. X searches JEI and finds cyclic:faith_plate and crafts it for CS. Confusion ensues.",sev,50,00:50:42,,https://youtu.be/PnOJnPJs8yo&t=3042,
"CS kills X with bow accidentally for the first of three times in one episode",exo,63,00:16:42,00:31:46,https://youtu.be/kngS7lQI5x8&t=1002,https://youtu.be/sRNaZsqjIvM&t=1906
"CS kills X with bow accidentally for the second of three times in one episode",exo,63,00:34:39,01:03:50,https://youtu.be/kngS7lQI5x8&t=2079,https://youtu.be/sRNaZsqjIvM&t=3830
"CS kills X with bow accidentally for the third of three times in one episode",exo,63,00:36:41,01:05:54,https://youtu.be/kngS7lQI5x8&t=2201,https://youtu.be/sRNaZsqjIvM&t=3954
"CS calls X 'daddy' for 20k bits",exo,44,00:48:50,00:48:50,https://youtu.be/zQ28tvNz4PM&t=2930,https://youtu.be/Sut92kWCTb8&t=2930
"X has to explain to CS what a refactory period is",sf4,3,00:26:41,00:26:41,https://youtu.be/qu1yzcjMFPs&t=1601,https://youtu.be/j3IoEksWiOU&t=1601
"X traps CS in the house. CS then attempts to trap X, but he's missing a block. He turns around and X is standing behind him with the missing block.",sf3,38,00:00:45,00:00:45,https://youtu.be/d79IRH3yKTI&t=45,https://youtu.be/N4NqXX7EDvk&t=45
"The most concentrated amount of CS profanity that has ever been recorded. Uncensored audio at https://twitch.tv/x33n/clip/BlitheCoyCakeGrammarKing",sf3,33,00:40:34,,https://youtu.be/JFBoHOcgISY&t=2434,
"CS portals X to the moon",umr,8,00:31:59,00:31:59,https://youtu.be/g874i35ldP8&t=1919,https://youtu.be/HV4kBeuF04I&t=1919
"CS and X talk about Barrels, Drawers, Storage & More - nothing to see here",sf4,4,00:15:31,00:15:31,https://youtu.be/VmeREdnaRkI&t=931,https://youtu.be/3rVsShzAwBw&t=931
"X gaslights CS by exchanging his drying porkchops for bacon before they turn into leather",sf4,4,00:34:34,00:35:01,https://youtu.be/VmeREdnaRkI&t=2074,https://youtu.be/3rVsShzAwBw&t=2101
"Barrels, Drawers, Storage & More contd.",sf4,5,00:26:46,00:26:46,https://youtu.be/5Juqobbkuck&t=1606,https://youtu.be/KVeLajPL-0A&t=1606
"CS tests his new explosive bow on X, inside their base",exo,62,01:03:24,01:03:24,https://youtu.be/SJY1t47Qho4&t=3804,https://youtu.be/rZonCvIrTRc&t=3804
"CS discoveres that he has been lied to about preforming the ceremonial first iron casting",exo,6,00:13:00,00:13:00,https://youtu.be/_u3QxWfDV38&t=780,https://youtu.be/V6FMCH8MIbI&t=780
"CS performs the 'ceremonial first iron ceremony never been done before' ritual",exo,6,00:01:12,00:01:12,https://youtu.be/_u3QxWfDV38&t=72,https://youtu.be/V6FMCH8MIbI&t=72
"You did what to her scepter?",sf4,6,00:50:08,,https://youtu.be/udwX0wYtmcc&t=3008,
"CS starts talking about Vtubers and doesn't stop (it gets reeealy weird)",exo,32,00:27:12,00:27:12,https://youtu.be/ePbZDl3LFO4&t=1632,https://youtu.be/AmOk1yepu3M&t=1632
"CS says 'They don't give us head'? (continues for a while)",sf4,8,00:42:57,00:41:18,https://youtu.be/QqcYOG-uWOE&t=2577,https://youtu.be/nrQNJftLJEE&t=2478
"Cloe",sf4,8,00:58:29,,https://youtu.be/QqcYOG-uWOE&t=3509,
"CS discovers X wears shoes in his house",sf4,9,00:15:31,00:15:31,https://youtu.be/ys1ynHk6vvQ&t=931,https://youtu.be/RHc7wIOzfgo&t=931
"X uses CS's slime boots to bounce him off the edge like a rubber ball",sf4,9,01:07:48,01:07:48,https://youtu.be/ys1ynHk6vvQ&t=4068,https://youtu.be/RHc7wIOzfgo&t=4068
"CS makes a very dangerous yoyo",sf4,10,00:23:06,00:23:06,https://youtu.be/X3qJqsgWx1Q&t=1386,https://youtu.be/-5CU3_XrLJU&t=1386
"CS and X reach the twilight forest Naga island by abusing sf4's infinite fall feature",sf4,10,00:26:16,00:26:16,https://youtu.be/X3qJqsgWx1Q&t=1576,https://youtu.be/-5CU3_XrLJU&t=1576
"X lovingly cultivates a guardian out of one seed, only for it to immediately flail off the edge of the platform",sf4,10,00:40:42,,https://youtu.be/X3qJqsgWx1Q&t=2442,
"X trolls CS by secretly crafting shurikens and throwing them at him when he isn't looking",sf4,10,01:01:51,,https://youtu.be/X3qJqsgWx1Q&t=3711,
"CS discovers the Narrator",sf4,13,,00:14:02,,https://youtu.be/auT4xbsmR1A&t=842
"Jar Jar Drinks",sf4,14,00:35:07,00:35:07,https://youtu.be/nWiE3ras4e0&t=2107,https://youtu.be/wlVoqMbwe2w&t=2107
"CS travels so fast he hits himself with his own shuriken",sf4,15,,00:57:46,,https://youtu.be/aUD5yPTk-b0&t=3466
"The Twilight Lich goes out on his own terms",sf4,16,,00:52:45,,https://youtu.be/NgKXhQ-HE64&t=3165
"CS somehow feels the need to spin his eyeballs while simultaneously oscillating his scalp",sf4,19,,00:14:36,,https://youtu.be/-ucFvBZggRk&t=876
"'I know you like getting interfaces, but how about getting out of her face?'",sf4,19,01:08:15,01:08:15,https://youtu.be/nr_bRoU-yho&t=4095,https://youtu.be/-ucFvBZggRk&t=4095
"CS says a large amount of nonsense words and X just leaves",sf4,20,00:32:37,,https://youtu.be/k6UKpySVTGY&t=1957,
"CS clogs the smeltery with liquid bacon",sf4,21,,00:20:09,,https://youtu.be/q0RUy3Wmflw&t=1209
"CS makes a More S'more Double S'mingot (goes on for a while)",sf4,26,,00:32:43,,https://youtu.be/d4rJK-M2VhI&t=1963
"CS thinks he is pouring out electrum, is actually pouring out gold",sf4,26,,00:45:23,,https://youtu.be/d4rJK-M2VhI&t=2723
"Pristine Nuns",sf4,27,00:36:43,00:36:43,https://youtu.be/8fqVdgrh0gA&t=2203,https://youtu.be/6oWHrj7cpl0&t=2203
"BARELY KNOW 'ER DUUDE",sf4,29,00:12:55,00:12:55,https://youtu.be/bzbNuqBebdI&t=775,https://youtu.be/1WkCSVW8KUM&t=775
"CS drops his fully enchanted and leveled up glitch sword into the void",sf4,33,,01:03:12,,https://youtu.be/3xvX2SyxUtE&t=3792
"The reason i've been so stressed is just knowing that you have the patience of a guppy",sf4,34,00:22:12,,https://youtu.be/AbYfcSAw-tM&t=1332,
"X explains a small amount of one of the recursive nuclearcraft process he needs to perform and confuses CS",sf4,36,00:08:42,,https://youtu.be/0MgF2O1Y0cw&t=522,
"CS falls into a black hole",sf4,36,,00:31:51,,https://youtu.be/jzFnZBRV2OU&t=1911
"X discovers the abhorrent curse laid upon the ME Fluid Auto Filler",sf4,38,00:12:29,,https://youtu.be/bW_AShByUnI&t=749,
"Chilly Willy departs from this world",sea,1,00:10:14,,https://youtu.be/_GQHPSVUQMs&t=614,
"CS discovers lava",sea,1,,01:00:34,,https://youtu.be/lfYyXjbQWyY&t=3634
"CS discovers X's dolphin noise",sea,1,,01:02:51,,https://youtu.be/lfYyXjbQWyY&t=3771
"CS goes crazy over rats (continues for a while)",sea,3,,00:36:21,,https://youtu.be/cQEzOzds_ck&t=2181
"CS is paid 22000 bits to show his feet",sea,4,,00:08:29,,https://youtu.be/b7BYkpzEKCg&t=509
"X slaughters a newborn rat with fire",sea,6,00:05:42,00:05:42,https://youtu.be/gJjadod82BU&t=342,https://youtu.be/xW8XZV5hAGg&t=342
"X respawns at his original habitat and loads the other chilly willy, who promptly dies",sea,9,00:23:20,,https://youtu.be/7s2BbNQGrD8&t=1400,
"X accidentally hits CS's pet battle rat and is killed by it. Not as though anything like this ever happened before...",sea,9,00:41:39,,https://youtu.be/7s2BbNQGrD8&t=2499,
"CS and X encounter a Pirat who sure is trying his darnedest to kill them with his cute little cannon",sea,10,00:47:49,00:47:49,https://youtu.be/YIaC8LQwWQU&t=2869,https://youtu.be/Zia2gNaoeCo&t=2869
"X uses fans and vector plates to trap CS in a gerbil ball loop of ice",sf3,24,00:00:00,00:00:00,https://youtu.be/zdWI5GZs15Q&t=0,https://youtu.be/X9lz-OBZbAo&t=0
